,exact_matches,partial_matches,cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_loc_extract,loc_in_extracted_sentence,pxtraced_location_not_in_text_hall,pxtraced_location_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,try_count,misperid
61,4,1,0,0,9,5,8,0.59766513,6,7,5,2,10,1,1940
62,0,0,0,2,2,2,2,0.27042258,0,0,6,2,4,1,1953
63,0,0,0,3,5,3,5,0.312169,4,1,35,2,34,1,1961
64,0,0,0,2,4,2,4,0.34219187,0,2,21,23,0,1,1976
65,1,0,0,0,10,1,9,0.26574013,8,1,17,0,18,1,1989
66,0,0,0,3,4,3,4,0.27432588,4,0,10,2,8,1,2043
67,1,0,0,1,6,2,6,0.3133038,5,0,21,3,18,1,2063
68,2,0,0,1,6,3,6,0.4837013,6,2,18,0,20,1,2075
69,0,0,1,4,6,5,5,0.3545634,5,2,34,0,36,1,2280
70,2,0,0,0,3,2,3,0.27294153,2,0,10,1,9,1,2324
71,1,0,0,5,4,6,4,0.5108473,4,0,13,0,13,1,2334
72,1,0,0,3,3,4,2,0.26612502,2,1,28,1,28,1,2338
73,0,0,0,2,3,2,3,0.36927792,3,2,30,2,30,1,2454
74,1,0,0,0,6,1,5,0.2672957,2,2,19,4,17,1,2458
75,3,0,0,1,3,2,3,0.42544094,2,0,6,0,6,1,2470
76,0,0,0,6,4,6,4,0.34409556,3,1,20,1,20,1,2516
77,4,0,0,2,8,6,8,0.25839588,0,2,23,25,0,1,2528
78,4,0,0,1,6,3,5,0.32096216,2,6,22,3,25,1,2641
79,2,1,1,4,6,8,4,0.3042242,4,0,18,1,17,1,2667
80,0,0,0,0,5,0,5,0.4533279,1,1,6,0,7,1,2674
81,4,0,0,1,7,5,5,0.4588216,4,4,39,3,40,1,2681
82,0,0,0,5,4,5,4,0.32224205,0,3,3,6,0,1,2686
83,2,0,0,2,5,4,5,0.31158745,5,0,11,1,10,1,2738
84,2,0,0,1,9,3,9,0.47905377,8,2,42,4,40,1,2817
85,1,1,0,2,6,4,5,0.3667912,4,2,16,3,15,1,2854
86,2,0,0,1,11,3,9,0.43771914,3,3,53,5,51,1,2910
87,2,0,0,2,3,4,3,0.19563563,3,0,18,2,16,1,2915
88,2,0,0,0,2,2,2,0.31607908,0,0,4,3,1,4,2916
89,1,0,0,1,4,2,3,0.41743925,2,0,41,0,41,1,2923
90,2,0,0,1,9,3,8,0.26462156,7,0,20,1,19,1,2937
91,1,0,0,1,4,2,4,0.40399227,3,0,6,0,6,1,2943
92,1,0,0,2,6,3,6,0.3361319,1,2,20,0,22,1,2971
93,2,0,0,1,4,3,3,0.3007636,1,2,33,8,27,1,3051
94,1,0,0,6,3,7,2,0.20803806,2,0,108,5,103,1,3145
95,0,0,1,5,5,6,4,0.3507762,4,5,19,1,23,1,3148
96,0,0,0,1,4,1,4,0.31413785,3,3,28,4,27,1,3171
97,2,0,0,0,5,2,5,0.46836624,4,0,30,3,27,1,3183
98,0,0,0,3,3,3,3,0.37467405,2,2,5,2,5,1,3199
99,0,0,2,2,4,4,3,0.35614422,2,2,5,0,7,1,3213
100,2,0,0,4,9,6,8,0.3275816,4,0,29,5,24,1,3298
101,1,0,0,2,3,3,3,0.3659508,2,0,16,0,16,1,3299
102,1,0,0,3,5,4,5,0.49079475,1,2,17,19,0,1,3319
103,0,0,0,2,2,2,2,0.4686614,0,3,0,3,0,1,3394
104,0,0,0,1,4,1,4,0.41772836,4,0,7,0,7,1,3419
105,0,0,0,5,1,5,1,0.17632343,0,0,10,10,0,3,3465
106,0,0,0,4,3,4,3,0.37611943,3,0,8,0,8,1,3518
107,0,0,0,2,2,2,2,0.19902368,2,1,49,1,49,1,3520
108,2,0,0,4,5,6,4,0.31879026,2,2,14,4,12,1,3602
109,5,1,0,1,14,6,14,0.2263031,11,0,45,1,44,1,3614
110,1,0,0,8,6,9,6,0.3731764,4,2,66,4,64,1,3633
111,2,0,0,1,8,2,8,0.40997905,7,2,68,2,68,1,3651
112,0,0,0,4,2,4,2,0.3517961,2,0,40,4,36,1,3705
113,4,0,0,1,10,5,10,0.26766562,8,5,28,0,33,1,3717
114,0,1,0,2,6,3,6,0.32471707,0,1,6,4,3,1,3795
115,19,0,0,0,12,4,12,0.6551417,4,6,21,0,27,1,3809
116,1,0,0,1,5,2,5,0.3367103,0,2,26,28,0,1,3811
117,1,0,0,3,4,4,3,0.37122774,2,0,26,2,24,2,3815
118,2,0,0,0,4,2,3,0.3584318,3,1,76,7,70,1,3827
119,5,0,0,0,13,4,10,0.23682745,7,3,38,4,37,1,3853
120,0,0,0,2,5,2,5,0.42776656,3,4,25,2,27,1,3891
121,1,0,0,1,3,2,2,0.31726158,0,0,26,3,23,1,3938
122,1,0,0,2,8,3,8,0.28152576,8,0,82,1,81,1,3947
123,1,0,0,3,6,4,6,0.34688246,6,2,21,2,21,1,3956
124,8,0,0,0,8,4,7,0.4385246,5,3,8,0,11,1,4009
125,9,0,0,1,6,6,6,0.35159367,0,2,13,0,15,1,4115
126,1,0,1,0,5,2,4,0.49530765,2,2,4,0,6,1,4142
127,1,0,0,0,3,1,3,0.31654876,1,7,12,3,16,1,4182
128,1,0,0,4,5,5,5,0.16801977,0,4,11,15,0,2,4260
129,0,0,0,1,3,1,3,0.44284353,3,0,35,0,35,1,4295
130,3,1,0,2,7,6,6,0.37571213,0,4,15,19,0,1,4314
131,3,1,0,2,5,6,5,0.5040893,4,1,23,2,22,1,4350
